n	date	hash	files	ins	del	A	M	D	R	areas	subject	body
12	2026-02-07T23:45	a99ea0ef	1	71	45	0	1	0	0	notebooks	Refactor EDA notebook: Update comments and improve data preparation functions for stations, depots, and resources	
13	2026-02-07T23:46	c233fe25	1	2	2	0	1	0	0	notebooks	Refactor EDA notebook: Update print statements to reflect 'commodities' instead of 'bikes'	
14	2026-02-08T00:05	1694c3ff	1	184	95	0	1	0	0	notebooks	Refactor pickup-delivery pairs and update EDA notebook	- Increased the number of pickup-delivery pairs from 3 to 4 and adjusted quantities accordingly. ⏎ - Updated the output format to reflect changes in commodities and distances. ⏎ - Enhanced the greedy matching algorithm for pickups and deliveries, improving efficiency. ⏎ - Added new columns for utilization, target count, and balance in the inventory summary. ⏎ - Adjusted inventory quantities and calculations to reflect the new delivery strategy.
15	2026-02-14T12:57	3790c650	1	150	79	0	1	0	0	notebooks	Enhance EDA notebook with new data preparation utilities	- Introduced `DataLoader` class for generating fake stations, depots, and resources data. ⏎ - Added static methods for preparing stations, depots, and resources data with detailed docstrings and TODOs for future implementation. ⏎ - Updated execution counts to `null` to reset the notebook state. ⏎ - Improved structure and clarity of the exploratory data analysis, facilitating better insights for future analysis and testing.
16	2026-02-14T17:41	f7ea607f	1	119	110	0	1	0	0	notebooks	Fix AttributeError in DataLoader and update EDA notebook	- Resolved an `AttributeError` related to the `DataLoader` class by adding a `config` attribute in the constructor. ⏎ - Updated the `prepare_stations_data` method to utilize the `config` parameter for dynamic data generation. ⏎ - Enhanced error handling and output clarity in the exploratory data analysis notebook, ensuring smoother execution and better insights for future analysis.
17	2026-02-23T21:32	c85c59af	16	857	1301	10	1	3	2	gbp,notebooks	First iteration of refactoring	
18	2026-02-24T15:38	a643141f	8	307	188	3	4	1	0	gbp,notebooks	Refactor data loading and processing in the rebalancer module	- Moved data loading functionality from `data_loader.py` to `dataloader.py`, encapsulating it within the `DataLoaderRebalancer` class. ⏎ - Updated the `Rebalancer` class to utilize the new `DataLoaderRebalancerProtocol`, enhancing modularity and adherence to the hexagonal architecture. ⏎ - Refactored methods for creating distance matrices and pickup-delivery pairs, ensuring they are now part of the `DataLoaderRebalancer` class. ⏎ - Introduced a new `protocols.py` file to define interfaces for data loading, promoting explicit dependencies and modularity. ⏎ - Added a new Jupyter notebook for testing the pipeline, facilitating easier validation of the rebalancer's functionality.
19	2026-02-24T15:58	79aed18e	4	249	1783	1	1	2	0	gbp,notebooks	cleaned and prepared notes for graph loader	
20	2026-02-24T21:39	bef268ba	2	20	243	0	2	0	0	gbp,notebooks	Refactor data loading in Rebalancer and update execution counts in the EDA notebook	
21	2026-02-24T22:02	e9d8e828	2	12	8	0	2	0	0	gbp,notebooks	Refactor data handling in Rebalancer and update notebook comments for clarity	
22	2026-02-25T21:08	7086ab27	10	627	213	1	9	0	0	gbp,notebooks	Refactor DataLoader and Rebalancer modules to enhance data handling and modularity	- Introduced a new `DataLoaderGraph` class for converting raw source data into a temporal `GraphData` representation, encapsulating the logic for building nodes, edges, resources, and commodities. ⏎ - Updated `DataLoaderRebalancer` to utilize the new `DataLoaderGraph`, streamlining the data loading process and improving adherence to hexagonal architecture principles. ⏎ - Refactored demand calculation logic into a dedicated `DemandCalculator` class, enhancing clarity and separation of concerns. ⏎ - Modified the `Rebalancer` class to simplify the pipeline execution flow, ensuring it directly interacts with the updated data loader classes. ⏎ - Enhanced the Jupyter notebook to reflect changes in the data loading process and to validate the new structure.
23	2026-03-01T13:55	f7a9f2df	10	399	17	2	8	0	0	gbp,notebooks	Enhance data validation and structure by implementing Pandera schemas and decorators across modules	
24	2026-03-01T21:34	a78369d8	18	4616	706	14	2	2	0	.gitignore,gbp,notebooks	Add initial graph API test notebook and update pipeline notebook kernel specification	- Created a new Jupyter notebook `01_test_graph_api.ipynb` to test graph API functionalities, including node and edge attributes, flows, and demands. ⏎ - Updated the kernel specification in `02_test_pipeline.ipynb` to use "GFDRR (3.11.9)".
25	2026-03-04T21:15	2f65eb10	5	314	187	0	5	0	0	gbp,notebooks	feat(graph): enhance edge management and distance service integration	- Added edges attribute to GraphData class, allowing for dynamic edge storage. ⏎ - Implemented set_distance_service method in GraphQueryMixin for flexible distance service configuration. ⏎ - Refactored edge building methods to utilize the new distance service setup. ⏎ - Updated example notebook to reflect changes in edge building and distance service usage. ⏎ - Enhanced save/load functionality for edges in parquet format. ⏎ - Improved documentation and type hints for better clarity and usability.
26	2026-03-06T21:06	2e24b850	5	1210	857	0	5	0	0	gbp,notebooks	feat(graph): introduce temporal attributes and validation in AttributeTable	- Added TimeGranularity and GRANULARITY_TO_FREQ to support temporal attributes. ⏎ - Enhanced AttributeTable to include date_column, time_granularity, and date_format fields for temporal data handling. ⏎ - Implemented validation logic to ensure consistency of temporal fields in AttributeTable. ⏎ - Updated example notebook to demonstrate usage of temporal attributes in graph data. ⏎ - Enhanced save/load functionality to accommodate new temporal fields in parquet format. ⏎ - Improved documentation for AttributeTable to clarify the handling of static and temporal attributes.
27	2026-03-08T14:27	e8a1115c	12	1430	180	9	1	1	1	gbp,notebooks,tests	feat(loaders): implement DataLoaderGraph and associated contracts for graph data loading	- Introduced `DataLoaderGraph` class to convert raw source data into a universal `GraphData`, supporting static and temporal inventory management. ⏎ - Added `DataLoaderMock` for generating mock data for testing purposes. ⏎ - Created Pydantic models in `contracts.py` for configuration and validation of data sources. ⏎ - Implemented Pandera schemas for validating source DataFrames, ensuring data integrity. ⏎ - Established protocols for data source and graph loader interfaces to promote modularity and adherence to hexagonal architecture principles. ⏎ - Added comprehensive tests for the graph data loader, covering loading, snapshot structure, and validation. ⏎ - Updated notebooks to demonstrate the usage of the new data loading functionality.
28	2026-03-08T15:03	054669a0	17	2257	1800	3	8	6	0	SPEC_reference.md,gbp,notebooks,tests	feat(rebalancer): restructure rebalancer module with contracts and data loading enhancements	- Removed the `dataloader_graph.py` and `decorators.py` files to streamline the codebase. ⏎ - Introduced `contracts.py` to define Pydantic models for rebalancer configurations and schemas, ensuring strict validation. ⏎ - Updated `DataLoaderRebalancer` to utilize the new `RebalancerConfig` for configuration management, enhancing clarity and type safety. ⏎ - Refactored demand calculation logic into the `DemandCalculator` class, improving separation of concerns. ⏎ - Enhanced the `Rebalancer` class to directly interact with the updated data loader, promoting modularity. ⏎ - Implemented comprehensive validation using Pandera schemas across the rebalancer module to ensure data integrity. ⏎ - Updated tests and documentation to reflect the new structure and functionality.
29	2026-03-08T20:44	cd259489	3	42	0	2	1	0	0	notebooks	feat(notebooks): add initial download_gbfs and load_trips_data notebooks	
30	2026-03-08T20:44	f8947805	1	542	0	0	1	0	0	notebooks	feat(notebooks): add comprehensive data loading and processing in download_gbfs notebook	
31	2026-03-09T20:04	8425f51a	5	1408	951	0	5	0	0	gbp,notebooks,tests	feat(loaders): enhance DataLoaderGraph with additional attributes and telemetry support	- Updated `DataLoaderGraph` to include new methods for building station property attributes, cost attributes, and trip flows. ⏎ - Introduced telemetry data handling in the data loader, allowing for comprehensive snapshots that include telemetry metrics. ⏎ - Enhanced the `DataLoaderMock` to generate additional mock data for telemetry, trips, and costs, improving testing capabilities. ⏎ - Updated the `DataSourceProtocol` to include new data attributes for telemetry and trips, ensuring compatibility with the enhanced data loader. ⏎ - Added tests to validate the presence of new attributes and ensure data integrity across the loading process. ⏎ - Improved documentation and comments to reflect the new functionalities and their usage in the data loading pipeline.
32	2026-03-09T20:43	ff5f746c	7	1303	373	0	7	0	0	gbp,notebooks,tests	feat(graph): enhance GraphData with temporal attributes and validation	- Added `inventory_ts`, `telemetry_ts`, and `timestamps` attributes to the `GraphData` class for improved temporal data handling. ⏎ - Introduced the `available_dates` property to retrieve available timestamps for temporal snapshots. ⏎ - Implemented `get_snapshot` method to return a single-timestamp snapshot from the full temporal series. ⏎ - Added private methods `_snapshot_inventory` and `_snapshot_telemetry` for handling inventory and telemetry data snapshots. ⏎ - Enhanced `GraphValidator` with `_validate_inventory_ts_schema` to ensure proper validation of the inventory time-series schema. ⏎ - Updated `DataLoaderGraph` to initialize new temporal attributes from the data source. ⏎ - Added tests to validate the new temporal attributes and ensure correct functionality of the snapshot methods. ⏎ - Improved documentation to reflect the new features and their usage in the graph data structure.
33	2026-03-22T14:59	cea645da	80	6850	0	78	2	0	0	.gitignore,docs,gbp,pyproject.toml,tests	feat(docs): add architecture and data model documentation	- Introduced comprehensive architecture diagrams to illustrate the core entities, facility roles, network graph examples, and multi-commodity flow concepts. ⏎ - Added detailed documentation for the graph-based data model, covering key entities such as Commodity, Resource, and Facility, along with their relationships and attributes. ⏎ - Created a structured repository documentation to outline the project structure and components. ⏎ - Enhanced the understanding of the build pipeline and data consumers through visual representations. ⏎ - Included an entity-relationship diagram to provide a full table schema overview. ⏎ - Improved overall documentation clarity and accessibility for future development and onboarding.
34	2026-03-22T15:09	cb688f10	9	180	206	0	9	0	0	docs	feat(docs): update architecture and data model documentation for bike-sharing	- Revised architecture diagrams to reflect the bike-sharing example, replacing the previous gas logistics context. ⏎ - Enhanced the graph data model documentation to include bike-sharing commodities and facilities, ensuring clarity on instance-level tracking and resource categories. ⏎ - Updated diagrams to illustrate the new operational roles and transformations specific to bike-sharing, including maintenance and repair processes. ⏎ - Improved overall documentation coherence and accessibility for stakeholders involved in bike-sharing logistics and optimization.
35	2026-03-22T15:16	1a98e3b9	1	61	31	0	1	0	0	docs	feat(docs): enhance graph data model documentation with implementation details	- Updated the graph data model documentation to include the current implementation status of `RawModelData` and `ResolvedModelData`, detailing their alignment with Python packages. ⏎ - Added sections on the build pipeline, including the steps involved in `build_model()` and the role of various enums and roles in the model. ⏎ - Clarified the naming conventions for attributes and tables, ensuring consistency in terminology. ⏎ - Included validation caveats regarding the use of `validate_raw_model()` and its dependency on pre-materialized tables. ⏎ - Improved overall documentation clarity to facilitate better understanding for stakeholders and developers.
36	2026-03-22T15:26	28ab711a	1	1157	0	1	0	0	0	notebooks	feat(notebooks): introduce graph model playground for interactive validation	- Added a new Jupyter notebook for interactive exploration of the tabular graph logistics model, focusing on the transition from `RawModelData` to `ResolvedModelData`. ⏎ - Included sections for schema validation, business validation, and the full build pipeline, enhancing the understanding of model construction. ⏎ - Implemented a toy bike-sharing `RawModelData` example to facilitate hands-on experimentation with model attributes and validation processes. ⏎ - Improved documentation within the notebook to guide users through the setup and execution of the model validation steps.
37	2026-03-22T18:55	bde07168	27	874	7289	0	13	14	0	SPEC.md,docs,gbp,notebooks,tests	refactor(graph): restructure graph module and update documentation	- Removed the `graph` module's core files, including `builders.py`, `core.py`, `validators.py`, and `queries.py`, to streamline the architecture and enhance modularity. ⏎ - Introduced a new `core/` directory to house the L2 logistics model, including `RawModelData`, schemas, and enums, improving organization and clarity. ⏎ - Updated documentation in `SPEC.md` and `architecture_diagrams.md` to reflect the new structure and clarify the transition from `RawModelData` to `ResolvedModelData`. ⏎ - Enhanced the `DataLoaderGraph` documentation to detail the new data transformation processes and validation steps, ensuring better understanding for users. ⏎ - Improved overall documentation coherence to facilitate easier navigation and comprehension of the graph data model.
38	2026-03-22T19:29	bb3060e4	10	131	466	0	10	0	0	docs,gbp,notebooks,tests	refactor(loaders): streamline DataLoaderGraph and update documentation	- Removed legacy attributes and methods related to rebalancer snapshots from `DataLoaderGraph`, enhancing clarity and focus on core functionalities. ⏎ - Updated `GraphLoaderProtocol` to reflect the new data access patterns, including properties for `raw`, `resolved`, and `source` data. ⏎ - Revised documentation in `dataloader_graph.py` to clarify the data loading process and the relationship between `RawModelData` and `ResolvedModelData`. ⏎ - Enhanced architecture diagrams to accurately represent the updated data flow and loader capabilities. ⏎ - Improved test cases to align with the new structure, ensuring comprehensive coverage of the `DataLoaderGraph` functionalities.
39	2026-03-22T20:20	d9ceff4f	9	1672	320	3	6	0	0	docs,gbp,tests	refactor(core): enhance RawModelData structure and introduce quick-start factory	- Added a new `REFACTORING_SPEC.md` document outlining a 4-step refactoring plan to improve code clarity and navigation within the `gbp` architecture. ⏎ - Introduced logical grouping of fields in `RawModelData` and `ResolvedModelData` to enhance readability while maintaining backward compatibility. ⏎ - Created a `make_raw_model` factory function to simplify the creation of `RawModelData` from minimal inputs, lowering the entry barrier for experimentation. ⏎ - Updated `DataLoaderGraph` to utilize the new `BikeShareSourceProtocol`, ensuring a more domain-agnostic approach. ⏎ - Enhanced unit tests for the `make_raw_model` function to validate its functionality and ensure comprehensive coverage of the new features. ⏎ - Revised documentation across various modules to reflect the changes and improve overall clarity for developers and stakeholders.
40	2026-03-22T20:36	902b58e4	1	590	0	1	0	0	0	docs	feat(docs): introduce comprehensive data journey documentation for bike-sharing	- Added a new document `DATA_JOURNEY.md` detailing the complete data journey for a bike-sharing example, illustrating the flow from raw data generation to graph model transformation. ⏎ - Included specific sections on real-world scenarios, data loading processes, and the transformation of domain-specific data into universal tables. ⏎ - Documented the structure and attributes of generated data, including DataFrames for stations, depots, and inventory snapshots, enhancing clarity for developers and stakeholders. ⏎ - Provided detailed explanations of the data loading and processing steps, including the roles and operations of facilities within the network. ⏎ - Improved overall documentation coherence to facilitate better understanding of the data journey and its implications for the optimization platform.
41	2026-03-22T21:34	473a97f9	1	687	0	1	0	0	0	docs	feat(docs): introduce dynamic attribute system design documentation	- Added a new document `ATTRIBUTE_SYSTEM_DESIGN.md` detailing the design and implementation of a dynamic attribute system for the optimization platform. ⏎ - Outlined the context, current limitations, and goals for the AttributeBuilder API, emphasizing the need for flexibility in registering custom attributes. ⏎ - Described the architectural separation between structural and parametric tables, clarifying the distinction and their roles within the system. ⏎ - Introduced the `RegisteredAttribute` and `AttributeRegistry` classes, providing a central API for managing parametric attributes and their validation. ⏎ - Documented the registration process for attributes, including validation steps and the handling of dynamic grain definitions. ⏎ - Enhanced overall documentation coherence to facilitate better understanding of the attribute system's design and its implications for the platform.
42	2026-03-22T21:52	a8ccefcb	9	960	97	2	7	0	0	gbp,tests	feat(core): implement dynamic attribute registry and enhance model data structure	- Introduced the `AttributeRegistry` class to manage parametric attributes, providing a central API for registration, validation, and retrieval. ⏎ - Enhanced `RawModelData` and `ResolvedModelData` to include an `attributes` field, allowing for dynamic attribute management. ⏎ - Updated methods to serialize and deserialize the attribute registry, ensuring compatibility with existing data structures. ⏎ - Improved documentation to clarify the new attribute system and its integration within the model data classes. ⏎ - Added unit tests for the `AttributeRegistry` to validate registration processes and ensure robust functionality. ⏎ - Revised existing tests to accommodate changes in the model data structure and attribute handling.
43	2026-03-22T22:16	1284fa3f	10	510	215	1	9	0	0	docs,gbp,tests	refactor(core): clean up fixed parametric fields in model data	- Removed fixed parametric fields from `RawModelData` and `ResolvedModelData`, consolidating all parametric data management through the `AttributeRegistry`. ⏎ - Updated related properties and methods to reflect the new structure, ensuring that all parametric attributes are accessed via the registry. ⏎ - Revised the `build_model()` pipeline to eliminate hardcoded references to removed fields, enhancing flexibility and maintainability. ⏎ - Adjusted `DataLoaderGraph` to register parametric data exclusively through the `AttributeRegistry`, streamlining data loading processes. ⏎ - Updated tests to validate the new attribute access patterns and ensure comprehensive coverage of the changes. ⏎ - Enhanced documentation to clarify the updated model structure and the transition to a unified attribute management system.
44	2026-03-22T22:23	f88ac04e	1	184	392	0	1	0	0	docs	docs(DATA_JOURNEY): update data journey documentation for bike-sharing	- Revised the structure of the `DATA_JOURNEY.md` document to clarify the architectural separation between structural tables and parametric attributes. ⏎ - Enhanced explanations of how structural tables describe graph topology and how parametric attributes are registered and utilized within the system. ⏎ - Updated section headings to reflect the new organization, including renumbering sections for better clarity. ⏎ - Improved overall documentation coherence to facilitate understanding of the data journey from raw data generation to graph model transformation.
45	2026-03-24T20:07	abff99fa	9	251	1258	2	1	3	3	.cursorrules,PROJECT_STATE.md,SPEC.md,docs	refactor(docs): update project documentation and remove obsolete files	- Replaced the existing `.cursorrules` file with a new foundational document outlining the Graph-Based Logistics Platform, including its core concepts, architecture, and current phase. ⏎ - Introduced `PROJECT_STATE.md` to provide a comprehensive overview of the project's vision, roadmap, and current progress, detailing the stabilization of the core library. ⏎ - Deleted outdated `SPEC.md`, `CLEANUP_PARAMETRIC_FIELDS.md`, and `repo_struct.md` files to streamline documentation and eliminate redundancy. ⏎ - Added `docs/design/attribute_system.md` and `docs/design/graph_data_model.md` to enhance understanding of the dynamic attribute system and the overall data model structure. ⏎ - Improved overall documentation coherence and clarity to facilitate better navigation and comprehension for developers and stakeholders.
46	2026-03-24T20:15	dc57ec4e	1	59	0	1	0	0	0	PROJECT.md	feat(docs): add foundational project documentation for the Graph-Based Logistics Platform	- Introduced `PROJECT.md`, outlining the vision, roadmap, and principles of the platform, emphasizing the core concept of the Environment for simulating logistics networks. ⏎ - Detailed the two levels of tasks: operational (step-by-step simulation) and strategic (one-time optimization), clarifying their distinct roles and data handling. ⏎ - Established a clear roadmap for future phases, ensuring alignment with the project's goals and current progress. ⏎ - Enhanced documentation coherence to facilitate better understanding for developers and stakeholders.
47	2026-03-24T21:16	0cc25753	9	1443	12	3	6	0	0	CLAUDE.md,PROJECT_STATE.md,gbp,notebooks,tests	feat(docs): add CLAUDE.md for project guidance and update notebooks	- Introduced `CLAUDE.md`, providing comprehensive guidance for working with the Graph-Based Logistics Platform, including project overview, commands, architecture, data model invariants, code style, and AI collaboration rules. ⏎ - Added `05_pipeline_walkthrough.ipynb` to illustrate the step-by-step process of the `build_model()` function, enhancing understanding of data transformations within the pipeline. ⏎ - Created `01_attribute_registry_edge_cases.ipynb` to verify new validations in the `AttributeRegistry`, ensuring robust error handling and clarity in attribute registration. ⏎ - Updated `PROJECT_STATE.md` to reflect the completion of key tasks and progress in the current phase, including stabilization of the `AttributeRegistry`.
48	2026-03-24T21:31	cb990972	2	96	68	0	2	0	0	gbp,notebooks	feat(core): add factory method to construct ResolvedModelData from raw data	- Introduced `from_raw()` class method in `ResolvedModelData` to centralize the construction process from raw tables and build artifacts. ⏎ - The new method allows for a streamlined mapping of raw fields to resolved fields, enhancing consistency across the platform. ⏎ - Updated the `05_pipeline_walkthrough.ipynb` notebook to utilize the new factory method, improving clarity in the assembly of `ResolvedModelData`. ⏎ - Enhanced documentation to reflect the changes and provide guidance on using the new method effectively.
49	2026-03-26T22:02	f9ac6a1c	3	3019	61	1	2	0	0	PROJECT_STATE.md,docs,notebooks	Refactor code structure for improved readability and maintainability, added design doc for env, updated project state	
50	2026-03-27T20:05	5c679b53	19	1017	1007	14	5	0	0	.claude,.github,.gitignore,docs,pyproject.toml	Refactor documentation and code structure for GBP	- Updated `graph_data_model.md` to clarify parametric attributes and their registration. ⏎ - Completed the architecture clarity refactoring in `refactoring.md`, detailing the four-step process to improve code navigation and understanding. ⏎ - Added an index page for GBP documentation, summarizing the platform and its pipeline. ⏎ - Created detailed module documentation for `gbp.build`, `gbp.core`, `gbp.io`, `gbp.loaders`, `gbp.loading`, and `gbp.rebalancer`, outlining their functionalities and key components. ⏎ - Introduced a new factory function in `gbp.core.factory` for quick-start model creation. ⏎ - Enhanced the `pyproject.toml` to include `pydata-sphinx-theme` for improved documentation styling.
51	2026-03-27T19:31	7b9cb457	4	445	4	1	3	0	0	docs,pyproject.toml	docs: redesign Sphinx documentation with professional styling	- Add Furo theme color palette (dark sidebar, teal-blue brand) with full dark mode ⏎ - Add custom CSS: Inter/JetBrains Mono fonts, card grid, pipeline visualization ⏎ - Redesign index.md as landing page with Core Concepts, Package Reference cards, ⏎   and Architecture & Design section (previously orphaned docs now discoverable) ⏎ - Enable sphinxcontrib-mermaid for diagram rendering in architecture_diagrams.md ⏎ - Fix pyproject.toml docs deps: replace unused pydata-sphinx-theme with furo ⏎ - Add GitHub source links and footer icon ⏎  ⏎ https://claude.ai/code/session_013LHChDkoeqgVSLSh77wT5X
52	2026-03-27T20:32	af155759	0	0	0	0	0	0	0		Merge pull request #1 from vlzm/claude/html-preview-collaboration-alkEk	Enhance documentation styling and add Mermaid diagram support
53	2026-03-27T20:40	e6423a5e	1	2	2	0	1	0	0	docs	fix(docs): improve compatibility of build script with Windows paths	
54	2026-03-28T12:47	df90d4d8	25	2669	34	23	2	0	0	PROJECT_STATE.md,gbp,notebooks,tests	Add integration and unit tests for simulation engine and phases	- Introduced a new Jupyter notebook for verifying the complete simulation pipeline, including building models, initializing states, and executing demand, arrivals, and dispatch phases. ⏎ - Created integration tests for the Environment simulation engine, ensuring the full pipeline functions correctly with various phases. ⏎ - Developed unit tests for DemandPhase and ArrivalsPhase, validating their execution and interaction with inventory and resources. ⏎ - Implemented tests for DispatchPhase, focusing on dispatch validation, resource assignment, and rejection scenarios. ⏎ - Added tests for the SimulationLog, ensuring correct logging of inventory, flow events, and rejected dispatches. ⏎ - Established shared fixtures for simulator tests to streamline the setup of resolved models with initial inventory. ⏎ - Enhanced test coverage for the Phase protocol, PhaseResult, and Schedule functionalities.
55	2026-03-28T14:51	63a89154	10	905	6	7	3	0	0	.claude,CLAUDE.md,PROJECT_STATE.md,docs	Add detailed diagrams and storytelling documentation for environment simulation	- Created "13. Environment Engine — Simulation Loop" diagram to illustrate the simulation process and state transitions. ⏎ - Developed "14. Environment Phases — Per-Period Execution Detail" diagram to detail the execution of different phases within the simulation. ⏎ - Added PNG representation of the environment simulation loop for visual reference. ⏎ - Introduced storytelling guides for the graph data model, attribute system, and environment design, providing comprehensive explanations of the underlying concepts and structures.
56	2026-03-31T20:35	b5884721	9	1450	9	5	4	0	0	.claude,docs,gbp,notebooks	Add notebooks for mock data simulation and model validation	- Created `workbook.ipynb` to demonstrate the loading and validation of mock data using `DataLoaderMock` and `DataLoaderGraph`. ⏎ - Implemented `03_mock_simulation.ipynb` to run a full simulation pipeline with mock data, including demand injection and inventory analysis. ⏎ - Included detailed markdown explanations and code cells for each step of the simulation process.
57	2026-03-31T21:48	438a5b4e	12	1738	384	4	7	1	0	PROJECT_STATE.md,docs,gbp,notebooks,tests	Add tests for ObservedFlow and ObservedInventory schemas	- Implement tests to validate the ObservedFlow schema, including checks for valid data, optional fields, default values, and rejection of invalid inputs. ⏎ - Implement tests for the ObservedInventory schema, ensuring valid data and rejection of negative quantities and extra fields. ⏎ - Add a new test class for observations in test_graph_loader.py to verify the population and integrity of observed flow and inventory data.
58	2026-04-01T19:37	163b3d28	16	448	426	1	11	2	2	PROJECT_STATE.md,gbp,pyproject.toml,tests	refactored the code	
59	2026-04-01T20:40	16df4daf	2	11	8	0	2	0	0	CLAUDE.md,PROJECT_STATE.md	Consolidate loading utilities into loaders directory and update documentation	
60	2026-04-01T21:46	678ba3ca	13	23	120	0	13	0	0	docs,gbp,tests	Refactor data source protocols: rename DataSourceProtocol to BikeShareSourceProtocol and remove deprecated functions	
61	2026-04-07T22:56	1962f26e	15	4705	340	2	13	0	0	CLAUDE.md,gbp,notebooks,pyproject.toml,tests	Refactor mock simulation notebook and tests for improved clarity and accuracy	- Updated the simulation notebook to clarify the purpose and structure of the mock simulation, ensuring it reproduces historical inventory accurately. ⏎ - Modified the configuration for mock data generation to use more descriptive keys. ⏎ - Enhanced tests to validate commodity categories and ensure proper handling of inventory and demand across different phases. ⏎ - Added assertions to verify that observed inventory and flow data include all commodity categories. ⏎ - Adjusted the rebalancer tests to account for station capacities and inventory distribution by commodity type. ⏎ - Updated dependencies in `pyproject.toml` to include visualization libraries for enhanced data representation.
